Area,Price_RM,Size_SQFT,Bedrooms,Bathrooms,Property_Type,Source,Area_clean
Kulai,340000,775.0,3.0,2.0,Terrace House,Mudah,Kulai
Johor Bahru,1350000,2560.0,4.0,4.0,Residential,Mudah,Johor Bahru
Pasir Gudang,360000,1400.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,830000,1400.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,899000,1540.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,615000,1540.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Kulai,738000,2417.0,4.0,3.0,Terrace House,Mudah,Kulai
Johor Bahru,719000,1400.0,4.0,3.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,428000,770.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Johor Bahru,4200000,8300.0,6.0,6.0,Bungalow,Mudah,Johor Bahru
Pasir Gudang,440000,1170.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Kulai,550000,3035.0,4.0,3.0,Terrace House,Mudah,Kulai
Batu Pahat,250000,1540.0,3.0,2.0,Terrace House,Mudah,Batu Pahat
Skudai,388000,1033.0,4.0,3.0,Residential,Mudah,Skudai
Skudai,570000,1540.0,3.0,2.0,Terrace House,Mudah,Skudai
Kluang,240000,2394.0,3.0,3.0,Terrace House,Mudah,Kluang
Skudai,750000,1832.0,4.0,3.0,Terrace House,Mudah,Skudai
Kluang,888000,2100.0,4.0,3.0,Semi-D,Mudah,Kluang
Skudai,975000,3309.0,4.0,4.0,Terrace House,Mudah,Skudai
Johor Bahru,538000,1170.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,858000,3143.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,680000,1920.0,3.0,2.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,470000,1080.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Ulu Tiram,358000,775.0,3.0,2.0,Terrace House,Mudah,Ulu Tiram
Pasir Gudang,419000,1170.0,4.0,3.0,Terrace House,Mudah,Pasir Gudang
Johor Bahru,749000,3164.0,3.0,2.0,Semi-D,Mudah,Johor Bahru
Johor Bahru,990000,2040.0,5.0,3.0,Terrace House,Mudah,Johor Bahru
Pasir Gudang,325000,1400.0,3.0,2.0,Terrace House,Mudah,Pasir Gudang
Batu Pahat,700000,3766.0,4.0,3.0,Semi-D,Mudah,Batu Pahat
Kluang,255000,1539.0,3.0,2.0,Terrace House,Mudah,Kluang
Johor Bahru,698000,1400.0,3.0,3.0,Terrace House,Mudah,Johor Bahru
Batu Pahat,1080000,3197.0,4.0,4.0,Semi-D,Mudah,Batu Pahat
Batu Pahat,256000,770.0,3.0,2.0,Terrace House,Mudah,Batu Pahat
